_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
QgBfWmt9jwau4SapG,0,2,2023-04-19T16:56:31Z,,"ejZTYATjSmgt8wYe9,HWg2JyySmFzvPQZ4W","HWg2JyySmFzvPQZ4W,ejZTYATjSmgt8wYe9",QgBfWmt9jwau4SapG,w6KMhhccZfTK2eDCJ,cCrQwmfcEMvdsC6Xb,Yi9XcJrHPjK5PJTQz,2023-04-19T16:08:25Z
WHMWYLppT6n55GWK8,0,2,2023-04-20T17:38:32Z,,"2CzTGSbtazPkXKXWh,GLXfdKzeuxMfBiTdq","GLXfdKzeuxMfBiTdq,2CzTGSbtazPkXKXWh",WHMWYLppT6n55GWK8,dSfpMpMaL9NQTK82h,G6NiXXNGpvtmN2Wje,Yi9XcJrHPjK5PJTQz,2023-04-20T16:25:05Z
taqb2ppRdSSSKPrr3,0,2,2023-04-21T14:07:21Z,,"aKNySBa8JrtTE8BoM,4tPyAqb5zkjETP8YA","aKNySBa8JrtTE8BoM,4tPyAqb5zkjETP8YA",taqb2ppRdSSSKPrr3,xc5Ad9ZTHf74FoBiG,vG5o2FthRBdB3nv6t,Yi9XcJrHPjK5PJTQz,2023-04-21T13:07:23Z
WndaoHaKSX8CnnWN8,0,2,2023-04-21T22:23:08Z,,"EN35F6wtmpimYFA7p,DaYXAiCQWHeEruJZE","EN35F6wtmpimYFA7p,DaYXAiCQWHeEruJZE",WndaoHaKSX8CnnWN8,bMeXXtQDRArEDu5Bu,smzMk3Wyyg7qmQ3J3,Yi9XcJrHPjK5PJTQz,2023-04-21T21:34:03Z
Xk8rWPfyWGWvHMGXk,0,2,2023-04-24T18:28:02Z,,"iGhj5Qw38wMchtuka,fxZbRmHTcLhfWAQda","fxZbRmHTcLhfWAQda,iGhj5Qw38wMchtuka",Xk8rWPfyWGWvHMGXk,qr7mRExta5LLPtjgF,nLfEsd2w2CdzRaQ5r,Yi9XcJrHPjK5PJTQz,2023-04-24T17:41:09Z
ZHx6hdLtGuNqpt7dJ,0,2,2023-04-25T14:52:04Z,,"rKg57iGMnNb2pXmak,jG2KHaJzmxgvDH3qy","jG2KHaJzmxgvDH3qy,rKg57iGMnNb2pXmak",ZHx6hdLtGuNqpt7dJ,CwHeocNw8DuFcerR3,misJtDeKykdgbhMah,Yi9XcJrHPjK5PJTQz,2023-04-25T14:15:42Z
XmrKhGTS5Cxm3TTJv,0,2,2023-05-16T20:19:34Z,,"WoXLoYXHq5LyXmsp5,4DwSqzGpqWdcsdpph","WoXLoYXHq5LyXmsp5,4DwSqzGpqWdcsdpph",XmrKhGTS5Cxm3TTJv,xt3hD7h4tffPencnN,yFuMxpzRF7LWnZxwp,Yi9XcJrHPjK5PJTQz,2023-05-16T19:35:20Z
qq8ueFjmFbAqdW7NF,0,2,2023-05-17T14:33:44Z,,"bLCtZwWFuZJyvRLmc,FBMHiAbmtGCQHkYkE",bLCtZwWFuZJyvRLmc,,SuawNShwhXrYm8ifg,s7xs3cwk9LYKEwXNR,Yi9XcJrHPjK5PJTQz,2023-05-17T12:00:52Z
9pHY36GPQ9vjR2adB,0,2,2023-05-17T14:34:30Z,,"ntPuZDpKBZHvhheWP,mGy2KC79g26bJPipA","ntPuZDpKBZHvhheWP,mGy2KC79g26bJPipA",9pHY36GPQ9vjR2adB,xt3hD7h4tffPencnN,AWuZLwxJvp3v3Gt5F,Yi9XcJrHPjK5PJTQz,2023-05-17T14:33:49Z
AnrWKWBaaHu6Enbyx,0,2,,,"6cEqS6H6Qv4KuXMqF,i3EH92KYg4YSgqZEY",,,4zaYe3vppAa5EC57L,zfTA9XDmc7QxbQJkc,Yi9XcJrHPjK5PJTQz,2023-05-17T16:53:25Z
RpkrfbQTPG727WjTh,0,2,2023-05-17T17:42:47Z,,"LkZ2CovR4K3iAwQwz,W58QtFGq3ykZKrA6m","LkZ2CovR4K3iAwQwz,W58QtFGq3ykZKrA6m",RpkrfbQTPG727WjTh,4zaYe3vppAa5EC57L,7WgXhNJQWHJyZnwAR,Yi9XcJrHPjK5PJTQz,2023-05-17T16:57:26Z
8idebSiW9J6ZnFmWb,0,2,2023-05-18T20:04:55Z,,"8XBB278inLLvmwWPr,u6XQukckZx79CDH4X","8XBB278inLLvmwWPr,u6XQukckZx79CDH4X",8idebSiW9J6ZnFmWb,WHjCSpsCQksb5MbMQ,eWzMn5LmiFfkEesvX,Yi9XcJrHPjK5PJTQz,2023-05-18T19:00:06Z
LauZw5vwxkFgcagqa,0,2,2023-05-19T14:55:11Z,,"XcKodRfKzrmcLcMwt,jpEGpcChRbgwq6D6C","XcKodRfKzrmcLcMwt,jpEGpcChRbgwq6D6C",LauZw5vwxkFgcagqa,hvGsKHQ49gG8ZKQvB,9SwuPxRTFoNjM4vME,Yi9XcJrHPjK5PJTQz,2023-05-19T13:06:45Z
tmL67axAbjbDSb2rF,0,2,2023-05-22T17:06:23Z,,"md5SPmLvczFyLK59K,Mr3RcdZj4nbtBbSEc","md5SPmLvczFyLK59K,Mr3RcdZj4nbtBbSEc",tmL67axAbjbDSb2rF,oAgqQKw9LtRYpu4rL,Dr8NMC97CBHF452JB,Yi9XcJrHPjK5PJTQz,2023-05-22T16:06:23Z
DWggFFWQGZxpdJhHv,0,2,2023-05-24T14:03:51Z,,"b7tTJBfPaAtraZeXP,rMQteNbGMostY3bRG","b7tTJBfPaAtraZeXP,rMQteNbGMostY3bRG",DWggFFWQGZxpdJhHv,nzKgfrbSKFnHEY5v6,TXkaiXrryb77Xtdyk,Yi9XcJrHPjK5PJTQz,2023-05-24T13:03:35Z
T2EAmsnkMG4r2GeD7,0,2,2023-05-24T17:02:56Z,,"qBBhzbafDg6ssjMDE,6kwAYrWhEfziNKkLY","qBBhzbafDg6ssjMDE,6kwAYrWhEfziNKkLY",T2EAmsnkMG4r2GeD7,4eCcGCv7kKez4Mgko,Bxw6g2CqEYEfwnQzH,Yi9XcJrHPjK5PJTQz,2023-05-24T16:05:25Z
2hSfJCuaRNmDsuMu6,0,2,2023-05-26T14:28:50Z,,"G6yF8XTuTANrvo7De,45mwdCNTXxZ2w4q3c","45mwdCNTXxZ2w4q3c,G6yF8XTuTANrvo7De",2hSfJCuaRNmDsuMu6,agQWgZrvcwCWgJWax,DmSner5Jf2MWoywWN,Yi9XcJrHPjK5PJTQz,2023-05-26T13:13:07Z
viK7qeqD7wojRRSo3,0,2,2023-05-26T17:34:43Z,,"odb9X5sFmTXrsGJYY,DwKH3fkxvMaABKL3g","odb9X5sFmTXrsGJYY,DwKH3fkxvMaABKL3g",viK7qeqD7wojRRSo3,NjbYMfuRvSTncDeJZ,r7cAMyhLd4LBtCFfy,Yi9XcJrHPjK5PJTQz,2023-05-26T16:25:10Z
K9GQAFBB3A5prEAXG,0,2,,,,,,agQWgZrvcwCWgJWax,npyZ4GC2eBSuuwKXd,Yi9XcJrHPjK5PJTQz,2023-05-26T19:20:07Z
vveQdWdqvtMp57BDR,0,2,2023-05-26T19:24:16Z,,"sLTRhxyPm2CJJchQw,xdgfDTqor6aSmvdEW","sLTRhxyPm2CJJchQw,xdgfDTqor6aSmvdEW",vveQdWdqvtMp57BDR,ZDuDb2GdLYudnYYCg,nDs8G38EnyKvcGJag,Yi9XcJrHPjK5PJTQz,2023-05-26T19:20:54Z
Q3dM9iTRRKdyG2Ru6,0,2,2023-05-26T20:41:46Z,,"mvXjWxtEqFm2Z73wC,ty6F9JwRhHMKPypTd","mvXjWxtEqFm2Z73wC,ty6F9JwRhHMKPypTd",Q3dM9iTRRKdyG2Ru6,9gyZSfetAy2Se62wg,PnjLus8q869SEtJDT,Yi9XcJrHPjK5PJTQz,2023-05-26T19:44:57Z
