Time: 2023-04-15 16:00:21.173595, Key pressed: =
Time: 2023-04-15 16:00:22.678077, Key pressed: =
Time: 2023-04-15 16:00:24.178236, Key pressed: =
Time: 2023-04-15 16:00:25.678062, Key pressed: =
Time: 2023-04-15 16:00:27.184806, Key pressed: =
Time: 2023-04-15 16:00:28.674053, Key pressed: =
Time: 2023-04-15 16:00:30.178291, Key pressed: =
Time: 2023-04-15 16:00:31.674047, Key pressed: =
Time: 2023-04-15 16:00:33.173938, Key pressed: =
Time: 2023-04-15 16:00:34.678054, Key pressed: =
Time: 2023-04-15 16:00:36.174099, Key pressed: =
Time: 2023-04-15 16:00:37.678278, Key pressed: =
Time: 2023-04-15 16:00:39.173697, Key pressed: =
Time: 2023-04-15 16:00:40.668547, Key pressed: =
Time: 2023-04-15 16:00:42.173618, Key pressed: =
Time: 2023-04-15 16:00:43.673821, Key pressed: =
Time: 2023-04-15 16:00:45.169429, Key pressed: =
Time: 2023-04-15 16:00:46.673951, Key pressed: =
Time: 2023-04-15 16:00:48.178365, Key pressed: =
Time: 2023-04-15 16:00:49.678150, Key pressed: =
Time: 2023-04-15 16:00:51.173830, Key pressed: =
Time: 2023-04-15 16:00:52.678246, Key pressed: =
Time: 2023-04-15 16:00:54.178107, Key pressed: =
Time: 2023-04-15 16:00:55.668638, Key pressed: =
Time: 2023-04-15 16:00:57.173811, Key pressed: =
Time: 2023-04-15 16:00:58.678303, Key pressed: =
Time: 2023-04-15 16:01:00.168609, Key pressed: =
Time: 2023-04-15 16:01:01.668259, Key pressed: =
Time: 2023-04-15 16:01:03.178169, Key pressed: =
Time: 2023-04-15 16:01:04.678295, Key pressed: =
Time: 2023-04-15 16:01:06.173920, Key pressed: =
Time: 2023-04-15 16:01:07.678290, Key pressed: =
Time: 2023-04-15 16:01:09.179338, Key pressed: =
Time: 2023-04-15 16:01:10.678591, Key pressed: =
Time: 2023-04-15 16:01:12.178467, Key pressed: =
Time: 2023-04-15 16:01:13.667739, Key pressed: =
Time: 2023-04-15 16:01:15.177308, Key pressed: =
Time: 2023-04-15 16:01:16.672947, Key pressed: =
Time: 2023-04-15 16:01:18.176954, Key pressed: =
Time: 2023-04-15 16:01:19.677465, Key pressed: =
Time: 2023-04-15 16:01:21.178243, Key pressed: =
Time: 2023-04-15 16:01:22.676937, Key pressed: =
Time: 2023-04-15 16:01:24.168373, Key pressed: =
Time: 2023-04-15 16:01:25.677228, Key pressed: =
Time: 2023-04-15 16:01:27.168033, Key pressed: =
Time: 2023-04-15 16:01:28.677328, Key pressed: =
Time: 2023-04-15 16:01:30.177315, Key pressed: =
Time: 2023-04-15 16:01:31.677244, Key pressed: =
Time: 2023-04-15 16:01:33.172974, Key pressed: =
Time: 2023-04-15 16:01:34.677258, Key pressed: =
Time: 2023-04-15 16:01:36.167795, Key pressed: =
Time: 2023-04-15 16:01:37.677286, Key pressed: =
Time: 2023-04-15 16:01:39.177493, Key pressed: =
Time: 2023-04-15 16:01:40.662876, Key pressed: =
Time: 2023-04-15 16:01:42.168686, Key pressed: =
Time: 2023-04-15 16:01:43.677264, Key pressed: =
Time: 2023-04-15 16:01:45.173646, Key pressed: =
Time: 2023-04-15 16:01:46.677535, Key pressed: =
Time: 2023-04-15 16:01:48.177359, Key pressed: =
Time: 2023-04-15 16:01:49.677302, Key pressed: =
Time: 2023-04-15 16:01:51.173414, Key pressed: =
Time: 2023-04-15 16:01:52.677589, Key pressed: =
Time: 2023-04-15 16:01:54.177405, Key pressed: =
Time: 2023-04-15 16:01:55.677457, Key pressed: =
Time: 2023-04-15 16:01:57.167939, Key pressed: =
Time: 2023-04-15 16:01:58.677364, Key pressed: =
Time: 2023-04-15 16:02:00.177396, Key pressed: =
Time: 2023-04-15 16:02:01.673515, Key pressed: =
Time: 2023-04-15 16:02:02.758072, Key pressed: 1
Time: 2023-04-15 16:02:03.173018, Key pressed: =
Time: 2023-04-15 16:02:04.663236, Key pressed: =
Time: 2023-04-15 16:02:06.173261, Key pressed: =
Time: 2023-04-15 16:02:07.677887, Key pressed: =
Time: 2023-04-15 16:02:09.177355, Key pressed: =
Time: 2023-04-15 16:02:10.678489, Key pressed: =
Time: 2023-04-15 16:02:12.177488, Key pressed: =
Time: 2023-04-15 16:02:13.673253, Key pressed: =
Time: 2023-04-15 16:02:15.177414, Key pressed: =
Time: 2023-04-15 16:02:16.677263, Key pressed: =
Time: 2023-04-15 16:02:18.177422, Key pressed: =
Time: 2023-04-15 16:02:19.676990, Key pressed: =
Time: 2023-04-15 16:02:21.177079, Key pressed: =
Time: 2023-04-15 16:02:22.674025, Key pressed: =
Time: 2023-04-15 16:04:00.101263, Key pressed: =
Time: 2023-04-15 16:04:01.596737, Key pressed: =
Time: 2023-04-15 16:04:03.100894, Key pressed: =
Time: 2023-04-15 16:04:04.600928, Key pressed: =
Time: 2023-04-15 16:04:06.086336, Key pressed: =
Time: 2023-04-15 16:04:07.601068, Key pressed: =
Time: 2023-04-15 16:04:09.096799, Key pressed: =
Time: 2023-04-15 16:04:10.600964, Key pressed: =
Time: 2023-04-15 16:04:12.096864, Key pressed: =
Time: 2023-04-15 16:04:13.591489, Key pressed: =
Time: 2023-04-15 16:04:15.096917, Key pressed: =
Time: 2023-04-15 16:04:16.600418, Key pressed: =
Time: 2023-04-15 16:04:18.100535, Key pressed: =
Time: 2023-04-15 16:04:19.596547, Key pressed: =
Time: 2023-04-15 16:04:21.097528, Key pressed: =
Time: 2023-04-15 16:04:22.591885, Key pressed: =
Time: 2023-04-15 16:04:24.101139, Key pressed: =
Time: 2023-04-15 16:04:25.591266, Key pressed: =
Time: 2023-04-15 16:04:27.086761, Key pressed: =
Time: 2023-04-15 16:04:28.591446, Key pressed: =
Time: 2023-04-15 16:04:30.091844, Key pressed: =
Time: 2023-04-15 16:04:31.596524, Key pressed: =
Time: 2023-04-15 16:04:33.100790, Key pressed: =
Time: 2023-04-15 16:04:34.596523, Key pressed: =
Time: 2023-04-15 16:04:36.100804, Key pressed: =
Time: 2023-04-15 16:04:37.591335, Key pressed: =
Time: 2023-04-15 16:04:39.096972, Key pressed: =
Time: 2023-04-15 16:04:40.600815, Key pressed: =
Time: 2023-04-15 16:04:42.097107, Key pressed: =
Time: 2023-04-15 16:04:43.600890, Key pressed: =
Time: 2023-04-15 16:04:45.096466, Key pressed: =
Time: 2023-04-15 16:04:46.600959, Key pressed: =
Time: 2023-04-15 16:04:48.096947, Key pressed: =
Time: 2023-04-15 16:04:49.383866, Key pressed: 2
Time: 2023-04-15 16:04:49.601589, Key pressed: =
Time: 2023-04-15 16:04:49.765010, Key pressed: 2
Time: 2023-04-15 16:04:50.044807, Key pressed: 2
Time: 2023-04-15 16:04:51.096736, Key pressed: =
Time: 2023-04-15 16:04:52.600830, Key pressed: =
Time: 2023-04-15 16:04:54.100905, Key pressed: =
Time: 2023-04-15 16:04:55.601054, Key pressed: =
Time: 2023-04-15 16:04:57.091660, Key pressed: =
Time: 2023-04-15 16:04:58.601074, Key pressed: =
Time: 2023-04-15 16:05:00.096655, Key pressed: =
Time: 2023-04-15 16:05:01.596726, Key pressed: =
Time: 2023-04-15 16:05:03.097733, Key pressed: =
Time: 2023-04-15 16:05:04.020615, Key pressed: 2
Time: 2023-04-15 16:05:04.601056, Key pressed: =
Time: 2023-04-15 16:05:04.727267, Key pressed: 2
Time: 2023-04-15 16:05:05.755640, Key pressed: 2
Time: 2023-04-15 16:05:06.091299, Key pressed: =
Time: 2023-04-15 16:05:06.625767, Key pressed: 1
Time: 2023-04-15 16:05:06.890103, Key pressed: 1
Time: 2023-04-15 16:05:06.924369, Key pressed: 1
Time: 2023-04-15 16:05:06.954265, Key pressed: 1
Time: 2023-04-15 16:05:06.983579, Key pressed: 1
Time: 2023-04-15 16:05:07.525349, Key pressed: 2
Time: 2023-04-15 16:05:07.597355, Key pressed: =
Time: 2023-04-15 16:05:08.523089, Key pressed: 2
Time: 2023-04-15 16:05:08.776458, Key pressed: 2
Time: 2023-04-15 16:05:08.820091, Key pressed: 2
Time: 2023-04-15 16:05:08.865301, Key pressed: 2
Time: 2023-04-15 16:05:08.998582, Key pressed: 2
Time: 2023-04-15 16:05:09.096823, Key pressed: =
Time: 2023-04-15 16:05:09.678878, Key pressed: 2
Time: 2023-04-15 16:05:10.019077, Key pressed: 2
Time: 2023-04-15 16:05:10.431539, Key pressed: 2
Time: 2023-04-15 16:05:10.591553, Key pressed: =
Time: 2023-04-15 16:05:10.843065, Key pressed: 2
Time: 2023-04-15 16:05:11.541738, Key pressed: 2
Time: 2023-04-15 16:05:11.873949, Key pressed: 2
Time: 2023-04-15 16:05:12.098992, Key pressed: =
Time: 2023-04-15 16:05:12.938098, Key pressed: 2
Time: 2023-04-15 16:05:13.597579, Key pressed: =
Time: 2023-04-15 16:05:13.866550, Key pressed: 2
Time: 2023-04-15 16:05:14.994465, Key pressed: 2
Time: 2023-04-15 16:05:15.096434, Key pressed: =
Time: 2023-04-15 16:05:16.174876, Key pressed: 2
Time: 2023-04-15 16:05:16.424796, Key pressed: 2
Time: 2023-04-15 16:05:16.601163, Key pressed: =
Time: 2023-04-15 16:05:18.096624, Key pressed: =
Time: 2023-04-15 16:05:18.632830, Key pressed: 3
Time: 2023-04-15 16:05:18.880310, Key pressed: 3
Time: 2023-04-15 16:05:19.592368, Key pressed: =
Time: 2023-04-15 16:05:21.096947, Key pressed: =
Time: 2023-04-15 16:05:22.596623, Key pressed: =
Time: 2023-04-15 16:05:24.096971, Key pressed: =
Time: 2023-04-15 16:05:25.591558, Key pressed: =
Time: 2023-04-15 16:05:27.100994, Key pressed: =
Time: 2023-04-15 16:05:28.600902, Key pressed: =
