Time: 2023-04-15 16:05:09.893454, Key pressed: =
Time: 2023-04-15 16:05:11.389048, Key pressed: =
Time: 2023-04-15 16:05:12.888830, Key pressed: =
Time: 2023-04-15 16:05:14.389427, Key pressed: =
Time: 2023-04-15 16:05:15.889544, Key pressed: =
Time: 2023-04-15 16:05:17.393219, Key pressed: =
Time: 2023-04-15 16:05:18.900945, Key pressed: =
Time: 2023-04-15 16:05:20.384244, Key pressed: =
Time: 2023-04-15 16:05:21.889755, Key pressed: =
Time: 2023-04-15 16:05:23.389223, Key pressed: =
Time: 2023-04-15 16:05:24.888405, Key pressed: =
Time: 2023-04-15 16:05:26.383801, Key pressed: =
Time: 2023-04-15 16:05:27.889050, Key pressed: =
Time: 2023-04-15 16:05:29.388410, Key pressed: =
Time: 2023-04-15 16:05:30.898904, Key pressed: =
Time: 2023-04-15 16:05:32.384675, Key pressed: =
Time: 2023-04-15 16:05:33.888752, Key pressed: =
Time: 2023-04-15 16:05:35.388140, Key pressed: =
Time: 2023-04-15 16:05:36.892939, Key pressed: =
Time: 2023-04-15 16:05:38.383344, Key pressed: =
Time: 2023-04-15 16:05:39.888044, Key pressed: =
Time: 2023-04-15 16:05:41.387833, Key pressed: =
Time: 2023-04-15 16:05:42.883265, Key pressed: =
Time: 2023-04-15 16:05:44.377517, Key pressed: =
Time: 2023-04-15 16:05:45.883230, Key pressed: =
Time: 2023-04-15 16:05:47.372192, Key pressed: =
Time: 2023-04-15 16:05:48.882769, Key pressed: =
Time: 2023-04-15 16:05:50.377866, Key pressed: =
Time: 2023-04-15 16:05:51.888118, Key pressed: =
Time: 2023-04-15 16:05:53.383323, Key pressed: =
Time: 2023-04-15 16:05:54.883372, Key pressed: =
Time: 2023-04-15 16:05:56.382943, Key pressed: =
Time: 2023-04-15 16:05:57.892011, Key pressed: =
Time: 2023-04-15 16:05:59.398619, Key pressed: =
Time: 2023-04-15 16:06:00.883157, Key pressed: =
Time: 2023-04-15 16:06:02.383646, Key pressed: =
Time: 2023-04-15 16:06:03.888530, Key pressed: =
Time: 2023-04-15 16:06:05.388362, Key pressed: =
