Time: 2023-05-17 10:11:20.863361, Key pressed: 1
Time: 2023-05-17 10:11:20.907247, Key pressed: 1
Time: 2023-05-17 10:11:20.962108, Key pressed: 1
Time: 2023-05-17 10:11:21.178536, Key pressed: 3
Time: 2023-05-17 10:11:21.410695, Key pressed: 1
Time: 2023-05-17 10:11:22.040344, Key pressed: 3
Time: 2023-05-17 10:11:22.178196, Key pressed: 2
Time: 2023-05-17 10:11:22.431436, Key pressed: 1
Time: 2023-05-17 10:11:22.970490, Key pressed: 1
Time: 2023-05-17 10:11:23.120625, Key pressed: 2
Time: 2023-05-17 10:11:23.253168, Key pressed: 3
Time: 2023-05-17 10:11:23.864135, Key pressed: 2
Time: 2023-05-17 10:11:24.115188, Key pressed: 2
Time: 2023-05-17 10:11:24.138462, Key pressed: 2
Time: 2023-05-17 10:11:24.172726, Key pressed: 2
Time: 2023-05-17 10:11:24.222260, Key pressed: 2
Time: 2023-05-17 10:11:24.251514, Key pressed: 2
Time: 2023-05-17 10:11:24.280231, Key pressed: 2
Time: 2023-05-17 10:11:24.319160, Key pressed: 2
Time: 2023-05-17 10:11:24.358423, Key pressed: 2
Time: 2023-05-17 10:11:24.392432, Key pressed: 2
Time: 2023-05-17 10:11:24.416143, Key pressed: 2
Time: 2023-05-17 10:11:24.450197, Key pressed: 2
Time: 2023-05-17 10:11:25.726758, Key pressed: 3
Time: 2023-05-17 10:11:25.969358, Key pressed: 3
Time: 2023-05-17 10:11:26.136893, Key pressed: 3
Time: 2023-05-17 10:11:26.516352, Key pressed: 3
Time: 2023-05-17 10:11:27.076548, Key pressed: 2
Time: 2023-05-17 10:11:27.356422, Key pressed: 2
Time: 2023-05-17 10:11:27.621267, Key pressed: 2
Time: 2023-05-17 10:11:28.011282, Key pressed: 1
Time: 2023-05-17 10:11:28.255811, Key pressed: 1
Time: 2023-05-17 10:11:28.494043, Key pressed: 1
Time: 2023-05-17 10:11:28.947245, Key pressed: 2
Time: 2023-05-17 10:11:28.978361, Key pressed: 1
Time: 2023-05-17 10:11:29.292242, Key pressed: 3
Time: 2023-05-17 10:11:29.350543, Key pressed: 2
Time: 2023-05-17 10:11:29.355900, Key pressed: 1
