Time: 2023-05-17 13:45:45.740611, Key pressed: =
Time: 2023-05-17 13:45:47.245060, Key pressed: =
Time: 2023-05-17 13:45:48.741527, Key pressed: =
Time: 2023-05-17 13:45:50.240805, Key pressed: =
Time: 2023-05-17 13:45:51.744553, Key pressed: =
Time: 2023-05-17 13:45:53.240661, Key pressed: =
Time: 2023-05-17 13:45:54.739808, Key pressed: =
Time: 2023-05-17 13:45:56.230041, Key pressed: =
Time: 2023-05-17 13:45:57.745152, Key pressed: =
Time: 2023-05-17 13:45:59.240248, Key pressed: =
Time: 2023-05-17 13:46:00.744177, Key pressed: =
Time: 2023-05-17 13:46:02.240286, Key pressed: =
Time: 2023-05-17 13:46:03.744213, Key pressed: =
Time: 2023-05-17 13:46:05.235816, Key pressed: =
Time: 2023-05-17 13:46:06.736033, Key pressed: =
Time: 2023-05-17 13:46:08.235717, Key pressed: =
Time: 2023-05-17 13:46:09.735203, Key pressed: =
Time: 2023-05-17 13:46:11.240368, Key pressed: =
Time: 2023-05-17 13:46:12.741146, Key pressed: =
Time: 2023-05-17 13:46:14.240785, Key pressed: =
Time: 2023-05-17 13:46:15.741266, Key pressed: =
Time: 2023-05-17 13:46:17.244810, Key pressed: =
Time: 2023-05-17 13:46:18.740951, Key pressed: =
Time: 2023-05-17 13:46:20.241279, Key pressed: =
Time: 2023-05-17 13:46:21.740798, Key pressed: =
Time: 2023-05-17 13:46:23.241567, Key pressed: =
Time: 2023-05-17 13:46:24.740458, Key pressed: =
Time: 2023-05-17 13:46:26.244805, Key pressed: =
Time: 2023-05-17 13:46:27.735509, Key pressed: =
Time: 2023-05-17 13:46:29.236366, Key pressed: =
Time: 2023-05-17 13:46:30.735270, Key pressed: =
Time: 2023-05-17 13:46:32.235757, Key pressed: =
Time: 2023-05-17 13:46:33.740910, Key pressed: =
Time: 2023-05-17 13:46:35.244783, Key pressed: =
Time: 2023-05-17 13:46:36.735485, Key pressed: =
Time: 2023-05-17 13:46:38.240716, Key pressed: =
Time: 2023-05-17 13:46:39.736133, Key pressed: =
Time: 2023-05-17 13:46:41.230698, Key pressed: =
Time: 2023-05-17 13:46:42.734945, Key pressed: =
Time: 2023-05-17 13:46:44.240885, Key pressed: =
Time: 2023-05-17 13:46:45.741186, Key pressed: =
Time: 2023-05-17 13:46:47.244677, Key pressed: =
Time: 2023-05-17 13:46:48.741394, Key pressed: =
Time: 2023-05-17 13:46:50.251002, Key pressed: =
Time: 2023-05-17 13:46:51.745309, Key pressed: =
Time: 2023-05-17 13:46:53.235324, Key pressed: =
Time: 2023-05-17 13:46:54.744867, Key pressed: =
Time: 2023-05-17 13:46:56.240453, Key pressed: =
Time: 2023-05-17 13:46:57.744290, Key pressed: =
Time: 2023-05-17 13:46:59.244615, Key pressed: =
Time: 2023-05-17 13:47:00.740637, Key pressed: =
Time: 2023-05-17 13:47:02.240583, Key pressed: =
Time: 2023-05-17 13:47:03.745434, Key pressed: =
Time: 2023-05-17 13:47:05.245282, Key pressed: =
Time: 2023-05-17 13:47:06.745335, Key pressed: =
Time: 2023-05-17 13:47:08.240632, Key pressed: =
Time: 2023-05-17 13:47:09.741197, Key pressed: =
Time: 2023-05-17 13:47:11.245287, Key pressed: =
Time: 2023-05-17 13:47:12.745249, Key pressed: =
Time: 2023-05-17 13:47:14.240377, Key pressed: =
Time: 2023-05-17 13:47:15.744949, Key pressed: =
Time: 2023-05-17 13:47:17.245000, Key pressed: =
Time: 2023-05-17 13:47:18.740905, Key pressed: =
Time: 2023-05-17 13:47:20.231166, Key pressed: =
Time: 2023-05-17 13:47:21.740669, Key pressed: =
Time: 2023-05-17 13:47:23.240863, Key pressed: =
Time: 2023-05-17 13:47:24.735861, Key pressed: =
Time: 2023-05-17 13:47:26.240896, Key pressed: =
Time: 2023-05-17 13:47:39.987830, Key pressed: 1
Time: 2023-05-17 13:48:22.585286, Key pressed: =
Time: 2023-05-17 13:48:24.079745, Key pressed: =
Time: 2023-05-17 13:48:25.580010, Key pressed: =
Time: 2023-05-17 13:48:27.088370, Key pressed: =
Time: 2023-05-17 13:48:28.588201, Key pressed: =
Time: 2023-05-17 13:48:30.084072, Key pressed: =
Time: 2023-05-17 13:48:31.585134, Key pressed: =
Time: 2023-05-17 13:48:33.084680, Key pressed: =
Time: 2023-05-17 13:48:34.584870, Key pressed: =
Time: 2023-05-17 13:48:36.084363, Key pressed: =
Time: 2023-05-17 13:48:37.584461, Key pressed: =
Time: 2023-05-17 13:48:39.084920, Key pressed: =
Time: 2023-05-17 13:48:40.584783, Key pressed: =
Time: 2023-05-17 13:48:42.084462, Key pressed: =
Time: 2023-05-17 13:48:43.584389, Key pressed: =
Time: 2023-05-17 13:48:45.084052, Key pressed: =
Time: 2023-05-17 13:48:46.579378, Key pressed: =
Time: 2023-05-17 13:48:48.080053, Key pressed: =
Time: 2023-05-17 13:48:49.579503, Key pressed: =
Time: 2023-05-17 13:48:51.079608, Key pressed: =
Time: 2023-05-17 13:48:52.583898, Key pressed: =
Time: 2023-05-17 13:48:54.088678, Key pressed: =
Time: 2023-05-17 13:48:55.574506, Key pressed: =
Time: 2023-05-17 13:48:57.088922, Key pressed: =
Time: 2023-05-17 13:48:58.584268, Key pressed: =
Time: 2023-05-17 13:49:00.084524, Key pressed: =
Time: 2023-05-17 13:49:01.585131, Key pressed: =
Time: 2023-05-17 13:49:03.079928, Key pressed: =
Time: 2023-05-17 13:49:04.579426, Key pressed: =
Time: 2023-05-17 13:49:06.084404, Key pressed: =
Time: 2023-05-17 13:49:07.584181, Key pressed: =
Time: 2023-05-17 13:49:09.084610, Key pressed: =
Time: 2023-05-17 13:49:10.579920, Key pressed: =
Time: 2023-05-17 13:49:12.084477, Key pressed: =
Time: 2023-05-17 13:49:13.588934, Key pressed: =
Time: 2023-05-17 13:49:15.084112, Key pressed: =
Time: 2023-05-17 13:49:16.589128, Key pressed: =
Time: 2023-05-17 13:49:18.084751, Key pressed: =
Time: 2023-05-17 13:49:19.580035, Key pressed: =
Time: 2023-05-17 13:49:21.084671, Key pressed: =
Time: 2023-05-17 13:49:22.584720, Key pressed: =
Time: 2023-05-17 13:49:24.088784, Key pressed: =
Time: 2023-05-17 13:49:25.574940, Key pressed: =
Time: 2023-05-17 13:49:27.088675, Key pressed: =
Time: 2023-05-17 13:49:28.588802, Key pressed: =
Time: 2023-05-17 13:49:30.079204, Key pressed: =
Time: 2023-05-17 13:49:31.579839, Key pressed: =
Time: 2023-05-17 13:49:33.084735, Key pressed: =
Time: 2023-05-17 13:49:34.584802, Key pressed: =
Time: 2023-05-17 13:49:36.084436, Key pressed: =
Time: 2023-05-17 13:49:37.573873, Key pressed: =
Time: 2023-05-17 13:49:39.078864, Key pressed: =
Time: 2023-05-17 13:49:40.579271, Key pressed: =
Time: 2023-05-17 13:49:42.088251, Key pressed: =
Time: 2023-05-17 13:49:43.584226, Key pressed: =
Time: 2023-05-17 13:49:45.083811, Key pressed: =
Time: 2023-05-17 13:49:46.584815, Key pressed: =
Time: 2023-05-17 13:49:48.089078, Key pressed: =
Time: 2023-05-17 13:49:49.585091, Key pressed: =
Time: 2023-05-17 13:49:51.084138, Key pressed: =
Time: 2023-05-17 13:49:52.580085, Key pressed: =
Time: 2023-05-17 13:49:54.074875, Key pressed: =
Time: 2023-05-17 13:49:55.579476, Key pressed: =
Time: 2023-05-17 13:49:57.084853, Key pressed: =
Time: 2023-05-17 13:49:58.579560, Key pressed: =
Time: 2023-05-17 13:50:00.080137, Key pressed: =
Time: 2023-05-17 13:50:01.579873, Key pressed: =
Time: 2023-05-17 13:50:03.084445, Key pressed: =
Time: 2023-05-17 13:50:04.584418, Key pressed: =
Time: 2023-05-17 13:50:06.085058, Key pressed: =
Time: 2023-05-17 13:50:07.579819, Key pressed: =
Time: 2023-05-17 13:50:09.078911, Key pressed: =
Time: 2023-05-17 13:50:10.573922, Key pressed: =
Time: 2023-05-17 13:50:12.079659, Key pressed: =
Time: 2023-05-17 13:50:13.574027, Key pressed: =
Time: 2023-05-17 13:50:15.073462, Key pressed: =
Time: 2023-05-17 13:50:16.594624, Key pressed: =
Time: 2023-05-17 13:50:18.078385, Key pressed: =
Time: 2023-05-17 13:50:19.594399, Key pressed: =
Time: 2023-05-17 13:50:21.094060, Key pressed: =
Time: 2023-05-17 13:50:22.594669, Key pressed: =
Time: 2023-05-17 13:50:24.083621, Key pressed: =
Time: 2023-05-17 13:50:25.584198, Key pressed: =
Time: 2023-05-17 13:50:27.084123, Key pressed: =
Time: 2023-05-17 13:50:28.579062, Key pressed: =
Time: 2023-05-17 13:50:30.073874, Key pressed: =
Time: 2023-05-17 13:50:31.574849, Key pressed: =
Time: 2023-05-17 13:50:33.084496, Key pressed: =
Time: 2023-05-17 13:50:34.588726, Key pressed: =
Time: 2023-05-17 13:50:36.079109, Key pressed: =
Time: 2023-05-17 13:50:37.583692, Key pressed: =
Time: 2023-05-17 13:50:39.083958, Key pressed: =
Time: 2023-05-17 13:50:40.583821, Key pressed: =
Time: 2023-05-17 13:50:42.073691, Key pressed: =
Time: 2023-05-17 13:50:43.594345, Key pressed: =
Time: 2023-05-17 13:50:45.073503, Key pressed: =
Time: 2023-05-17 13:50:46.578850, Key pressed: =
Time: 2023-05-17 13:50:48.078564, Key pressed: =
Time: 2023-05-17 13:50:49.574194, Key pressed: =
Time: 2023-05-17 13:50:51.079061, Key pressed: =
Time: 2023-05-17 13:50:52.578842, Key pressed: =
Time: 2023-05-17 13:50:54.084527, Key pressed: =
Time: 2023-05-17 13:50:55.579119, Key pressed: =
Time: 2023-05-17 13:50:57.068868, Key pressed: =
Time: 2023-05-17 13:50:58.584124, Key pressed: =
Time: 2023-05-17 13:51:00.094363, Key pressed: =
Time: 2023-05-17 13:51:01.587998, Key pressed: =
Time: 2023-05-17 13:51:03.098174, Key pressed: =
Time: 2023-05-17 13:51:04.578518, Key pressed: =
Time: 2023-05-17 13:51:06.074155, Key pressed: =
Time: 2023-05-17 13:51:07.579389, Key pressed: =
Time: 2023-05-17 13:51:09.098733, Key pressed: =
Time: 2023-05-17 13:51:10.584143, Key pressed: =
Time: 2023-05-17 13:51:12.079599, Key pressed: =
Time: 2023-05-17 13:51:13.579111, Key pressed: =
Time: 2023-05-17 13:51:15.079287, Key pressed: =
Time: 2023-05-17 13:51:16.584022, Key pressed: =
Time: 2023-05-17 13:51:18.084292, Key pressed: =
Time: 2023-05-17 13:51:19.583415, Key pressed: =
Time: 2023-05-17 13:51:21.079216, Key pressed: =
Time: 2023-05-17 13:51:22.588827, Key pressed: =
Time: 2023-05-17 13:51:24.094884, Key pressed: =
Time: 2023-05-17 13:51:25.588740, Key pressed: =
Time: 2023-05-17 13:51:27.078908, Key pressed: =
Time: 2023-05-17 13:51:28.578830, Key pressed: =
Time: 2023-05-17 13:51:30.084088, Key pressed: =
Time: 2023-05-17 13:51:31.584143, Key pressed: =
Time: 2023-05-17 13:51:33.073854, Key pressed: =
Time: 2023-05-17 13:51:34.588514, Key pressed: =
Time: 2023-05-17 13:51:36.084607, Key pressed: =
Time: 2023-05-17 13:51:37.594613, Key pressed: =
Time: 2023-05-17 13:51:39.079861, Key pressed: =
Time: 2023-05-17 13:51:40.579855, Key pressed: =
Time: 2023-05-17 13:51:42.089116, Key pressed: =
